Date,Customer Name,Delarship,Year,Make,Model,KM,COLOR,Service Ready Time,Delivery Date,Day,Sales Rep,Type oF Payment,Licensing Instructions,,,,
"Wednesday, January 24, 2024",NAVNEET,Toronto,2016,Nissan,Rogue,31877,SILVER,10:00:00,13:00:00,"Friday, January 26, 2024",Henry Walker,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",PAUL,Vancouver,2007,Hyundai,Accent,73841,GRAY,8:00:00,11:00:00,"Friday, January 26, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",JULIA ALIAS,Vancouver,2019,BMW,Crosstrek,74280,BLUE,11:00:00,12:00:00,"Friday, January 26, 2024",James Thompson,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",NATALIE,Vancouver,2013,Volkswagen,Tiguan,22988,WHITE,10:00:00,13:00:00,"Friday, January 26, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",Hisham,Vancouver,2001,Ford,Escape,56532,BLACK,11:00:00,14:00:00,"Friday, January 26, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",KEVIN,Vancouver,2018,Honda,Civic,107358,WHITE,12:00:00,15:00:00,"Friday, January 26, 2024",Henry Walker,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",PATRICK,Vancouver,2011,BMW,Silverado,40624,WHITE,15:00:00,18:00:00,"Friday, January 26, 2024",Harper Wright,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",shoki,Vancouver,2000,Toyota,Camry,165606,BLACK,17:00:00,20:00:00,"Friday, January 26, 2024",Sebastian King,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",Pranjal,Vancouver,2007,BMW,X3,60042,GRAY,14:00:00,17:00:00,"Friday, January 26, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",Anoop,Vancouver,2008,Honda,Silverado,39100,WHITE,11:00:00,14:00:00,"Friday, January 26, 2024",Harper Wright,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",Zamoria,Vancouver,2016,Nissan,4 Series,187047,BLUE,15:00:00,18:00:00,"Friday, January 26, 2024",James Thompson,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",ERIC,Alberta,2022,Chevrolet,Fit,83664,BLACK,14:00:00,17:00:00,"Friday, January 26, 2024",Henry Walker,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",Parth,Alberta,2010,Hyundai,Pilot,82689,GRAY,15:00:00,18:00:00,"Friday, January 26, 2024",James Thompson,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",Maza,Vancouver,2000,Volkswagen,5 Series,72752,BLACK,13:00:00,16:00:00,"Monday, January 29, 2024",Lucas Clark,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",Dave,Vancouver,2013,Nissan,Golf,48693,WHITE,14:00:00,17:00:00,"Monday, January 29, 2024",James Thompson,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",PANKESH,Vancouver,2015,Toyota,X5,60833,WHITE,15:00:00,18:00:00,"Monday, January 29, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",Morena,Alberta,2008,Hyundai,Elantra,80245,GRAY,15:00:00,18:00:00,"Monday, January 29, 2024",Harper Wright,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",Amandeep,Alberta,2005,Nissan,Forester,58477,GRAY,10:00:00,13:00:00,"Monday, January 29, 2024",Liam Johnson,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",Chintan,Alberta,2021,Nissan,Santa Fe,45087,GRAY,12:00:00,15:00:00,"Monday, January 29, 2024",Henry Walker,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",Sanamdeep,Toronto,2015,Chevrolet,Accent,71531,BLUE,8:00:00,11:00:00,"Tuesday, January 30, 2024",Sebastian King,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",KAREN,Toronto,2022,Chevrolet,Forester,50598,BLACK,8:00:00,11:00:00,"Tuesday, January 30, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",maryanna,Toronto,2003,Volkswagen,Passat,94638,WHITE,11:00:00,14:00:00,"Tuesday, January 30, 2024",Henry Walker,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",Cristine ,Vancouver,2023,Volkswagen,Golf,65572,WHITE,11:00:00,12:00:00,"Tuesday, January 30, 2024",Harper Wright,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",NOEL,Vancouver,2007,Honda,Pilot,67894,BLACK,8:00:00,11:00:00,"Tuesday, January 30, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",PRAIBHJOT ,Vancouver,2016,Subaru,WRX,143590,BLACK,12:00:00,15:00:00,"Tuesday, January 30, 2024",Lily Baker,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",Brian,Vancouver,2022,Ford,Escape,51464,WHITE,14:00:00,17:00:00,"Tuesday, January 30, 2024",James Thompson,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",BURKA,Vancouver,2017,Honda,Camry,57580,BLACK,15:00:00,18:00:00,"Tuesday, January 30, 2024",Liam Johnson,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",RICK,Vancouver,2023,Honda,Passat,53284,BLACK,15:00:00,18:00:00,"Tuesday, January 30, 2024",Harper Wright,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",jenny,Vancouver,2019,Hyundai,Pathfinder,70308,WHITE,15:00:00,18:00:00,"Tuesday, January 30, 2024",Sebastian King,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",DEMI,Alberta,2007,Volkswagen,C-Class,62737,WHITE,11:00:00,14:00:00,"Tuesday, January 30, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",DEPAK PAUL,Toronto,2010,Nissan,Passat,58229,WHITE,10:00:00,13:00:00,"Wednesday, January 31, 2024",Harper Wright,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",RASOOL,Toronto,2004,Hyundai,Impala,73085,BLACK,8:00:00,11:00:00,"Wednesday, January 31, 2024",Jack Scott,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",TONY,Toronto,2015,Volkswagen,Golf,63919,WHITE,11:00:00,13:00:00,"Wednesday, January 31, 2024",Charlotte Adams,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",LONIKE,Toronto,2003,Hyundai,Outback,79690,GRAY,11:00:00,13:00:00,"Wednesday, January 31, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",jagge,Toronto,2008,Mercedes,Pilot,75314,WHITE,11:00:00,14:00:00,"Wednesday, January 31, 2024",Sebastian King,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",Joana,Vancouver,2001,Toyota,X3,76685,WHITE,8:00:00,11:00:00,"Wednesday, January 31, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",SONIA,Vancouver,2023,Ford,C-Class,74684,BLACK,13:00:00,16:00:00,"Wednesday, January 31, 2024",James Thompson,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",Shubnit,Alberta,2000,Volkswagen,E-Class,55291,BLACK,15:00:00,18:00:00,"Wednesday, January 31, 2024",Henry Walker,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",Deepal,Vancouver,2016,Hyundai,Accent,58701,WHITE,8:00:00,11:00:00,"Wednesday, January 31, 2024",James Thompson,C,NEW PLATES,,,,
"Wednesday, January 24, 2024",COLLIN,Vancouver,2020,BMW,Santa Fe,69652,BLUE ,15:00:00,18:00:00,"Wednesday, January 31, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",YULIA OLIINYK,Vancouver,2002,Mercedes,Fusion,64395,GRAY,11:00:00,14:00:00,"Wednesday, January 31, 2024",James Thompson,F,NEW PLATES,,,,
"Wednesday, January 24, 2024",kingsely,Vancouver,2014,Chevrolet,Impala,68230,BLACK,15:00:00,18:00:00,"Wednesday, January 31, 2024",Liam Johnson,C,NEW PLATES,,,,
"Friday, December 1, 2023",mike,Toronto,2013,Toyota,Pathfinder,17409,GRAY,8:00:00,11:00:00,"Thursday, February 1, 2024",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",Chris,Toronto,2006,Nissan,Tucson,46357,GRAY,8:00:00,11:00:00,"Friday, December 1, 2023",Charlotte Adams,C,NEW PLATES,,,,
"Friday, December 1, 2023",TIM,Toronto,2002,Ford,Fusion,62844,GRAY,8:00:00,11:00:00,"Friday, December 1, 2023",Henry Walker,C,NEW PLATES,,,,
"Friday, December 1, 2023",Alex,Vancouver,2005,Mercedes,C-Class,128504,WHITE,14:00:00,17:00:00,"Friday, December 1, 2023",Charlotte Adams,C,NEW PLATES,,,,
"Friday, December 1, 2023",YASH,Vancouver,2020,Mercedes,GLE,26778,BLUE,8:00:00,11:00:00,"Friday, December 1, 2023",James Thompson,F,NEW PLATES,,,,
"Friday, December 1, 2023",SIMA,Vancouver,2021,Chevrolet,Prius,,BROWN,11:00:00,14:00:00,"Friday, December 1, 2023",Liam Johnson,C,NEW PLATES,,,,
"Friday, December 1, 2023",GINO ,Vancouver,2002,BMW,Impreza,20212,WHITE,14:00:00,17:00:00,"Friday, December 1, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",Yasiel,Vancouver,2007,Subaru,Accord,145633,WHITE,14:00:00,17:00:00,"Friday, December 1, 2023",Jack Scott,F,NEW PLATES,,,,
"Friday, December 1, 2023",Jaton,Toronto,2022,Honda,Fit,74715,BLUE,8:00:00,11:00:00,"Monday, December 4, 2023",Harper Wright,C,TRANSFER PLATES,,,,
"Friday, December 1, 2023",KARANBIR HUNDAL,Vancouver,2011,Ford,GLA,66024,BLACK,14:00:00,17:00:00,"Monday, December 4, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",PAIGE,Vancouver,2002,Ford,Mustang,76716,WHITE,13:00:00,16:00:00,"Monday, December 4, 2023",Lucas Clark,F,NEW PLATES,,,,
"Friday, December 1, 2023",SAIT ,Vancouver,2009,Chevrolet,Fit,34464,BLACK,15:00:00,18:00:00,"Monday, December 4, 2023",James Thompson,F,NEW PLATES,,,,
"Friday, December 1, 2023",Divjot ,Toronto,2010,Honda,Santa Fe,81388,WHITE,9:00:00,12:00:00,"Tuesday, December 5, 2023",Henry Walker,C,TRANSFER PLATES,,,,
"Friday, December 1, 2023",Adrian Chang,Toronto,2005,Subaru,Impreza,55723,BLACK,12:00:00,15:00:00,"Tuesday, December 5, 2023",James Thompson,C,NEW PLATES,,,,
"Friday, December 1, 2023",MARIO ,Toronto,2015,Mercedes,GLE,51701,GRAY,9:00:00,12:00:00,"Tuesday, December 5, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",Rabjot,Toronto,2004,Subaru,Golf,62150,GRAY,12:00:00,15:00:00,"Tuesday, December 5, 2023",Henry Walker,F,NEW PLATES,,,,
"Friday, December 1, 2023",VIPAP,Vancouver,2009,Subaru,Crosstrek,47315,GRAY,21:00:00,0:00:00,"Tuesday, December 5, 2023",Jack Scott,F,NEW PLATES,,,,
"Friday, December 1, 2023",alex,Vancouver,2004,Subaru,WRX,29452,GRAY,11:00:00,14:00:00,"Tuesday, December 5, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",BASIL,Vancouver,2001,Nissan,Atlas,86242,GRAY,14:00:00,17:00:00,"Tuesday, December 5, 2023",Sebastian King,F,NEW PLATES,,,,
"Friday, December 1, 2023",Lyndon,Vancouver,2020,Subaru,GLE,65000,BLACK,9:00:00,12:00:00,"Tuesday, December 5, 2023",Henry Walker,F,NEW PLATES,,,,
"Friday, December 1, 2023",MARIA,Toronto,2015,Volkswagen,Escape,76144,BLACK,13:00:00,16:00:00,"Wednesday, December 6, 2023",James Thompson,C,TRANSFER PLATES,,,,
"Friday, December 1, 2023",Maria,Vancouver,2018,Ford,Mustang,56178,GRAY,11:00:00,14:00:00,"Wednesday, December 6, 2023",Lily Baker,F,NEW PLATES,,,,
"Friday, December 1, 2023",sariah,Vancouver,2019,Subaru,Passat,162777,RED,12:00:00,15:00:00,"Wednesday, December 6, 2023",Sebastian King,C,NEW PLATES,,,,
"Friday, December 1, 2023",Kris Baron,Vancouver,2010,Toyota,GLA,75673,BLACK,11:00:00,11:00:00,"Wednesday, December 6, 2023",Henry Walker,F,NEW PLATES,,,,
"Friday, December 1, 2023",AMRINDER,Vancouver,2009,Mercedes,RAV4,78252,GRAY,11:00:00,14:00:00,"Wednesday, December 6, 2023",Jack Scott,C,TRANSFER PLATES,,,,
"Friday, December 1, 2023",SANDEEP,Vancouver,2017,Subaru,Outback,63621,WHITE,12:00:00,15:00:00,"Wednesday, December 6, 2023",Sebastian King,C,TRANSFER PLATES,,,,
"Friday, December 1, 2023",TRISHA,Alberta,2002,Mercedes,5 Series,84535,GRAY,11:00:00,14:00:00,"Wednesday, December 6, 2023",Liam Johnson,F,NEW PLATES,,,,
"Friday, December 1, 2023",Navid,Vancouver,2017,Hyundai,3 Series,73968,WHITE,14:00:00,17:00:00,"Wednesday, December 6, 2023",Charlotte Adams,C,NEW PLATES,,,,
"Friday, December 1, 2023",Daniel,Vancouver,2000,Nissan,Sentra,39447,BLUE,15:00:00,18:00:00,"Wednesday, December 6, 2023",Charlotte Adams,C,NEW PLATES,,,,
"Friday, December 1, 2023",Prabhjot,Vancouver,2020,Ford,Fusion,84340,BLUE,11:00:00,18:00:00,"Wednesday, December 6, 2023",James Thompson,C,NEW PLATES,,,,
"Friday, December 1, 2023",ARSEN,Vancouver,2018,Subaru,WRX,166611,BLUE,11:00:00,0:00:00,"Wednesday, December 6, 2023",Henry Walker,C,TEMP PLATES,,,,
"Friday, December 1, 2023",Tariq Ali,Toronto,2006,Chevrolet,Camaro,70537,BLACK,12:00:00,15:00:00,"Thursday, December 7, 2023",Henry Walker,F,TRANSFER PLATES,,,,
"Friday, December 1, 2023",guiri,Vancouver,2011,BMW,X5,66056,BLUE,8:00:00,11:00:00,"Thursday, December 7, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",CHANEL,Vancouver,2004,Nissan,Altima,29786,BLACK,8:00:00,11:00:00,"Thursday, December 7, 2023",Henry Walker,F,NEW PLATES,,,,
"Friday, December 1, 2023",Mariya,Vancouver,2019,Nissan,Santa Fe,49901,BLACK,10:00:00,13:00:00,"Thursday, December 7, 2023",Jack Scott,F,NEW PLATES,,,,
"Friday, December 1, 2023",marlon,Vancouver,2006,Honda,CR-V,65600,WHITE,15:00:00,15:00:00,"Thursday, December 7, 2023",Sebastian King,F,NEW PLATES,,,,
"Friday, December 1, 2023",JUSHAN,Alberta,2009,Toyota,Highlander,68401,RED,12:00:00,15:00:00,"Thursday, December 7, 2023",Henry Walker,F,NEW PLATES,,,,
"Friday, December 1, 2023",Sam,Vancouver,2018,Nissan,Murano,66957,SILVER,11:00:00,15:00:00,"Thursday, December 7, 2023",Lily Baker,F,NEW PLATES,,,,
"Friday, December 1, 2023",Neel - SOLD,Vancouver,2007,Ford,4 Series,39570,GRAY,14:00:00,17:00:00,"Thursday, December 7, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",GUNTZ,Vancouver,2021,Chevrolet,Camaro,74701,GRAY,15:00:00,18:00:00,"Thursday, December 7, 2023",James Thompson,F,NEW PLATES,,,,
"Friday, December 1, 2023",CARLOS,Vancouver,2021,Volkswagen,Elantra,24720,GRAY,14:00:00,18:00:00,"Thursday, December 7, 2023",Henry Walker,F,NEW PLATES,,,,
"Friday, December 1, 2023",DAVID,Vancouver,2009,Nissan,Sonata,70750,WHITE,15:00:00,18:00:00,"Thursday, December 7, 2023",Charlotte Adams,C,NEW PLATES,,,,
"Friday, December 1, 2023",HOJ,Vancouver,2013,Hyundai,Camry,78318,WHITE,12:00:00,15:00:00,"Friday, December 8, 2023",Henry Walker,F,NEW PLATES,,,,
"Friday, December 1, 2023",NATHAN,Vancouver,2014,Ford,Forester,6751,GRAY,11:00:00,18:00:00,"Friday, December 8, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",Dwayne,Toronto,2003,BMW,Malibu,66001,SILVER,9:00:00,12:00:00,"Friday, December 8, 2023",Henry Walker,C,NEW PLATES,,,,
"Friday, December 1, 2023",Ryan,Toronto,2004,Chevrolet,Santa Fe,57774,WHITE,11:00:00,14:00:00,"Friday, December 8, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",Santiago,Toronto,2019,Toyota,Highlander,73356,GRAY,9:00:00,12:00:00,"Friday, December 8, 2023",Charlotte Adams,C,TRANSFER PLATES,,,,
"Friday, December 1, 2023",CALVERT,Toronto,2000,Toyota,Outback,12928,WHITE,8:00:00,11:00:00,"Friday, December 8, 2023",Lily Baker,F,NEW PLATES,,,,
"Friday, December 1, 2023",Mohansing,Toronto,2002,Toyota,RAV4,72995,WHITE,10:00:00,13:00:00,"Friday, December 8, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",Cherage,Vancouver,2010,Toyota,Corolla,74792,BLACK,10:00:00,13:00:00,"Friday, December 8, 2023",Liam Johnson,C,NEW PLATES,,,,
"Friday, December 1, 2023",Abhay,Vancouver,2019,Honda,Accord,132354,WHITE,12:00:00,15:00:00,"Friday, December 8, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",parry,Vancouver,2007,Toyota,Rogue,60730,WHITE,15:00:00,18:00:00,"Friday, December 8, 2023",Lucas Clark,F,NEW PLATES,,,,
"Friday, December 1, 2023",PARTH,Vancouver,2019,Nissan,Sentra,81097,BLACK,10:00:00,13:00:00,"Friday, December 8, 2023",Harper Wright,F,NEW PLATES,,,,
"Friday, December 1, 2023",TAIWO ADEMOLA,Vancouver,2006,Hyundai,C-Class,95320,WHITE,14:00:00,17:00:00,"Friday, December 8, 2023",Liam Johnson,C,NEW PLATES,,,,
"Friday, December 1, 2023",WILIAM,Vancouver,2006,BMW,5 Series,186796,BLACK,11:00:00,14:00:00,"Friday, December 8, 2023",Lily Baker,C,NEW PLATES,,,,
"Friday, December 1, 2023",WALTER,Toronto,2018,Ford,Mustang,46444,WHITE,8:00:00,11:00:00,"Monday, December 11, 2023",Henry Walker,F,NEW PLATES,,,,
"Friday, December 1, 2023",TERRY,Toronto,2000,Hyundai,Atlas,19140,GRAY,10:00:00,13:00:00,"Monday, December 11, 2023",Lily Baker,F,NEW PLATES,,,,
"Friday, December 1, 2023",EGOR,Toronto,2014,Nissan,5 Series,80662,BLUE,11:00:00,14:00:00,"Monday, December 11, 2023",Charlotte Adams,C,TRANSFER PLATES,,,,
"Friday, December 1, 2023",Iam,Vancouver,2001,Ford,Explorer,121309,BLACK,8:00:00,11:00:00,"Monday, December 11, 2023",Harper Wright,F,NEW PLATES,,,,
"Friday, December 1, 2023",JASHAN,Vancouver,2001,Hyundai,Sentra,54052,SILVER,10:00:00,13:00:00,"Monday, December 11, 2023",James Thompson,F,NEW PLATES,,,,
"Friday, December 1, 2023",Aditya,Vancouver,2007,Honda,Silverado,69587,WHITE,11:00:00,14:00:00,"Monday, December 11, 2023",Sebastian King,F,NEW PLATES,,,,
"Friday, December 1, 2023",Diva Rosero,Vancouver,2017,Subaru,Crosstrek,66132,GRAY,14:00:00,17:00:00,"Monday, December 11, 2023",Lily Baker,F,NEW PLATES,,,,
"Friday, December 1, 2023",SAMUAL,Vancouver,2002,Subaru,Tahoe,46467,BLACK,14:00:00,17:00:00,"Monday, December 11, 2023",Liam Johnson,F,NEW PLATES,,,,
"Friday, December 1, 2023",SALMAN,Vancouver,2017,Ford,Mustang,63950,WHITE,15:00:00,18:00:00,"Monday, December 11, 2023",Liam Johnson,F,NEW PLATES,,,,
"Friday, December 1, 2023",MARVIN,Vancouver,2013,Toyota,Prius,28407,BLACK,15:00:00,18:00:00,"Monday, December 11, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",Rauf ,Toronto,2002,Nissan,Prius,19662,GRAY,10:00:00,13:00:00,"Tuesday, December 12, 2023",Jack Scott,F,NEW PLATES,,,,
"Friday, December 1, 2023",lucas,Vancouver,2015,Mercedes,E-Class,190887,BLACK,12:00:00,15:00:00,"Tuesday, December 12, 2023",Henry Walker,C,TEMP PLATES,,,,
"Friday, December 1, 2023",MANDEEP KAUR / HARWINDER SINGH,Vancouver,2012,Honda,Sentra,93450,SILVER,10:00:00,13:00:00,"Tuesday, December 12, 2023",Harper Wright,F,NEW PLATES,,,,
"Friday, December 1, 2023",Kelly,Vancouver,2017,Mercedes,Pathfinder,63413,WHITE,11:00:00,14:00:00,"Tuesday, December 12, 2023",Liam Johnson,F,NEW PLATES,,,,
"Friday, December 1, 2023",Knorr,Vancouver,2003,Chevrolet,Explorer,80879,WHITE,11:00:00,14:00:00,"Tuesday, December 12, 2023",Henry Walker,C,NEW PLATES,,,,
"Friday, December 1, 2023",Angelo,Vancouver,2004,Honda,Outback,67409,WHITE,15:00:00,18:00:00,"Tuesday, December 12, 2023",Charlotte Adams,C,NEW PLATES,,,,
"Friday, December 1, 2023",SAMINA,Vancouver,2014,Ford,GLE,51278,SILVER,15:00:00,18:00:00,"Tuesday, December 12, 2023",Henry Walker,F,NEW PLATES,,,,
"Friday, December 1, 2023",THAI,Toronto,2017,Toyota,Prius,77180,BLACK,8:00:00,11:00:00,"Wednesday, December 13, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",SEIMA ,Toronto,2009,Chevrolet,Altima,621003,WHITE,9:00:00,12:00:00,"Wednesday, December 13, 2023",Henry Walker,F,NEW PLATES,,,,
"Friday, December 1, 2023",VAISHALI,Toronto,2003,Chevrolet,Silverado,77042,WHITE,8:00:00,11:00:00,"Wednesday, December 13, 2023",Harper Wright,C,TRANSFER PLATES,,,,
"Friday, December 1, 2023",TONY,Vancouver,2018,Chevrolet,Impala,55853,BLUE,9:00:00,12:00:00,"Wednesday, December 13, 2023",Lily Baker,C,NEW PLATES,,,,
"Friday, December 1, 2023",Tony Juseaj,Vancouver,2004,Nissan,S-Class,72159,WHITE,9:00:00,12:00:00,"Wednesday, December 13, 2023",Jack Scott,F,TRANSFER PLATES,,,,
"Friday, December 1, 2023",HARISRAN,Alberta,2021,Toyota,Corolla,85997,SILVER,9:00:00,12:00:00,"Wednesday, December 13, 2023",Sebastian King,F,NEW PLATES,,,,
"Friday, December 1, 2023",Kevin,Alberta,2007,Hyundai,Sonata,83804,GRAY,10:00:00,13:00:00,"Wednesday, December 13, 2023",Jack Scott,F,NEW PLATES,,,,
"Friday, December 1, 2023",Gurmeet,Vancouver,2018,Toyota,RAV4,69740,WHITE,13:00:00,16:00:00,"Wednesday, December 13, 2023",Harper Wright,F,NEW PLATES,,,,
"Friday, December 1, 2023",OMAR,Vancouver,2022,BMW,Pathfinder,83352,SILVER,13:00:00,16:00:00,"Wednesday, December 13, 2023",Harper Wright,F,NEW PLATES,,,,
"Friday, December 1, 2023",GURPREET,Vancouver,2007,Hyundai,3 Series,63454,BLUE,15:00:00,18:00:00,"Wednesday, December 13, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",edin begovic,Vancouver,2013,Honda,Fit,190883,BLACK,11:00:00,18:00:00,"Wednesday, December 13, 2023",Jack Scott,C,TEMP PLATES,,,,
"Friday, December 1, 2023",JOE,Toronto,2006,Hyundai,Fit,70912,BLACK,10:00:00,13:00:00,"Thursday, December 14, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",Ali,Vancouver,2001,BMW,GLA,77718,SILVER,10:00:00,13:00:00,"Thursday, December 14, 2023",James Thompson,F,NEW PLATES,,,,
"Friday, December 1, 2023",Angelo,Vancouver,2009,Subaru,WRX,205909,RED,15:00:00,18:00:00,"Thursday, December 14, 2023",Charlotte Adams,C,NEW PLATES,,,,
"Friday, December 1, 2023",harman,Vancouver,2005,Toyota,Corolla,61085,SILVER,21:00:00,0:00:00,"Thursday, December 14, 2023",Harper Wright,F,NEW PLATES,,,,
"Friday, December 1, 2023",JANET,Vancouver,2015,Volkswagen,Golf,152575,BLACK,16:00:00,19:00:00,"Thursday, December 14, 2023",Henry Walker,C,NEW PLATES,,,,
"Friday, December 1, 2023",Gurvinder Singh,Vancouver,2015,Nissan,CR-V,69532,GRAY,14:00:00,17:00:00,"Thursday, December 14, 2023",Lily Baker,F,NEW PLATES,,,,
"Friday, December 1, 2023",Aman,Vancouver,2004,Chevrolet,Sentra,65387,BLACK,14:00:00,17:00:00,"Thursday, December 14, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",john,Toronto,2001,Nissan,Passat,86290,BLUE,10:00:00,13:00:00,"Friday, December 15, 2023",Harper Wright,C,TRANSFER PLATES,,,,
"Friday, December 1, 2023",Sandro,Vancouver,2008,Chevrolet,Explorer,232579,WHITE,12:00:00,15:00:00,"Friday, December 15, 2023",Harper Wright,C,TEMP PLATES,,,,
"Friday, December 1, 2023",DEVAN,Vancouver,2011,Nissan,5 Series,64286,BLACK,14:00:00,17:00:00,"Friday, December 15, 2023",James Thompson,F,NEW PLATES,,,,
"Friday, December 1, 2023",Paul,Vancouver,2013,Subaru,Impreza,90856,BLACK,14:00:00,17:00:00,"Friday, December 15, 2023",Jack Scott,C,NEW PLATES,,,,
"Friday, December 1, 2023",Kashish,Vancouver,2014,BMW,Fit,42677,RED,15:00:00,18:00:00,"Friday, December 15, 2023",James Thompson,F,NEW PLATES,,,,
"Friday, December 1, 2023",ANKIT,Vancouver,2000,Nissan,Passat,323467,WHITE,15:00:00,18:00:00,"Friday, December 15, 2023",Sebastian King,C,TEMP PLATES,,,,
"Friday, December 1, 2023",SIAN,Vancouver,2018,Nissan,Pathfinder,70383,WHITE,12:00:00,15:00:00,"Friday, December 15, 2023",Lily Baker,F,NEW PLATES,,,,
"Friday, December 1, 2023",Ravi,Vancouver,2005,Ford,Silverado,20893,WHITE,11:00:00,16:00:00,"Friday, December 15, 2023",Sebastian King,F,NEW PLATES,,,,
"Friday, December 1, 2023",LIZ,Vancouver,2015,BMW,4 Series,64044,SILVER,14:00:00,17:00:00,"Friday, December 15, 2023",Charlotte Adams,F,NEW PLATES,,,,
"Friday, December 1, 2023",Victoria,Vancouver,2004,Chevrolet,Impala,66974,WHITE,8:00:00,11:00:00,"Friday, December 15, 2023",Harper Wright,F,NEW PLATES,,,,
"Friday, December 1, 2023",Ali,Alberta,2014,Ford,Accent,60691,GOLD,12:00:00,15:00:00,"Friday, December 15, 2023",Harper Wright,F,NEW PLATES,,,,
"Friday, December 1, 2023",JEROME,Toronto,2008,Toyota,Corolla,72308,BLACK,11:00:00,14:00:00,"Monday, December 18, 2023",Harper Wright,F,NEW PLATES,,,,
"Friday, December 1, 2023",Sarah,Vancouver,2023,Chevrolet,Malibu,59907,WHITE,8:00:00,11:00:00,"Monday, December 18, 2023",Lily Baker,F,NEW PLATES,,,,
"Friday, December 1, 2023",TONY,Vancouver,2008,Honda,CR-V,62074,GRAY,10:00:00,13:00:00,"Monday, December 18, 2023",Lily Baker,F,NEW PLATES,,,,
"Friday, December 1, 2023",Mark,Vancouver,2013,Ford,Passat,142715,BLACK,10:00:00,13:00:00,"Monday, December 18, 2023",Liam Johnson,C,TEMP PLATES,,,,
"Friday, December 1, 2023",Arshdeep,Alberta,2010,Mercedes,Malibu,134443,WHITE,14:00:00,17:00:00,"Monday, December 18, 2023",Harper Wright,F,NEW PLATES,,,,
